income,investment_income,deductions,age,state,target
45795,7659,1702,28,CA,9882.35
30860,10601,18385,37,FL,3165.8999999999996
133694,11704,23296,27,FL,22670.4
149879,25,20262,46,NY,24914.050000000003
140268,15384,28948,65,NY,23124.2
106820,13705,23616,51,WA,17515.75
84886,8652,26382,34,NY,11679.5
36265,13379,11139,69,WA,6475.1
112386,7006,22715,59,NY,17849.350000000002
67194,19867,22419,30,WA,10814.100000000002
117498,18378,27785,61,NY,19310.050000000003
142727,8682,15702,64,TX,25922.2
74131,1072,26728,56,WA,8305.0
90263,215,29217,44,TX,10780.600000000002
46023,9915,6523,43,TX,9061.1
71090,9784,12397,45,TX,12586.35
97221,18990,8111,30,TX,20264.95
94820,14824,25120,29,CA,14907.599999999999
30769,3313,2401,61,FL,6050.5
89735,11033,29414,45,CA,12248.45
92955,9968,26940,19,NY,13351.2
94925,16241,9481,54,NY,19050.9
97969,5939,28341,51,FL,13399.399999999998
35311,14696,10067,40,FL,6749.85
133355,14794,13376,69,FL,25546.1
134724,2295,29004,62,TX,20038.050000000003
113104,1696,13824,46,CA,19419.200000000004
83707,11185,13444,52,NY,15058.150000000001
115305,18330,12879,28,CA,22590.75
58693,12001,25358,65,CA,7199.25
101932,14350,16112,50,CA,18510.9
123016,19167,539,68,FL,27343.5
136970,3644,10974,28,FL,25197.1
55658,6420,13846,26,NY,8633.1
114478,11837,5615,31,NY,23267.4
48431,19029,27244,26,NY,5729.550000000001
32747,6353,29290,56,CA,179.85000000000036
89150,10541,16016,65,FL,15407.150000000001
95725,1932,28513,20,TX,12306.55
114654,11486,2956,46,CA,23914.700000000004
65773,1757,8077,36,WA,11398.9
149346,5085,3722,53,CA,29701.45
97435,5637,12059,49,FL,17317.8
86886,1116,26409,24,WA,10942.350000000002
96803,10759,5087,45,CA,19702.7
61551,11691,10338,61,FL,11479.35
146216,492,22844,35,FL,23606.0
41394,8811,2170,22,TX,9057.95
99092,6474,3391,40,CA,19941.75
33890,14385,6942,39,FL,7200.25
71606,9738,18000,43,NY,11281.900000000001
126276,13979,13806,59,FL,23900.55
110038,11755,14792,29,TX,20072.850000000002
117313,9797,12809,57,FL,21729.9
40627,14607,14855,36,CA,6602.700000000001
38792,12867,9108,64,CA,7411.450000000001
138859,19127,29388,18,WA,23293.850000000002
138557,7866,6458,20,CA,27276.800000000003
103969,15449,2756,44,WA,22422.15
73001,10685,6853,35,NY,14489.7
106552,5451,7709,67,TX,20200.800000000003
53897,8548,18320,47,NY,7481.600000000002
98148,7186,28618,19,WA,13553.000000000004
53483,6102,19475,22,FL,6743.15
78555,619,12847,46,FL,12592.1
47159,882,17352,50,NY,5226.1
140510,3642,7297,59,FL,26824.05
136530,1296,27940,37,WA,20515.4
110077,14122,16256,47,TX,20069.7
65920,2895,3203,59,CA,12817.5
122067,17313,6499,22,WA,25385.600000000002
97121,5366,5173,67,WA,18935.850000000002
99479,8711,17273,38,CA,16884.200000000004
